"","Start_Date","Lecture","Responsive","Guide","Labs","Classroom","Computer","Network","See_Hear","Had_Skills","Learned","Learned_Comment","Details"
"1",5468694691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"2",5467803188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"3",5467796183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"4",5467795605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"5",5467795336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"6",5467795250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",5467795209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
"8",5467794940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"9",5467733254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"10",5467733000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"11",5467732879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"12",5467732809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"13",5467732759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"14",5467732681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"15",5467732610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"16",5467732598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"17",5467732501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"18",5467688094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"19",5467687049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"20",5467687002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"21",5467686988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"22",5467686930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"23",5467686812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"24",5464944038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"25",5464943952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"26",5464943857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"27",5464943592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"28",5464943494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"29",5464943303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"30",5464943131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"31",5464943128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
