RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12
3101,Los Angeles,California,1,463200,446400,429900,419300,404700,388700,372600,361600,3.52E+05,339100,323500,310900,302400,296700,2.94E+05,299300,307200,314200,322100,327400,332200,336200,339600,338300,334400,331100,336900,335400,336500,330700,337100,335900,338900,336800,334600,331300,325100,325800,325400,322800,320700,3.17E+05,317800,3.12E+05,312700,311500,313500,311100,310100,312700,316400,320600,326500,331900,342900,350400,361200,368400,371400,370200,373400,386600,402600,415100,420900,4.26E+05,428300,432200,435400,437300,437600,4.39E+05,441500,445800,449200,449700,452700,454300,4.56E+05,456700,456900,458300,4.68E+05,476500,481800,477900,4.77E+05,480600,482500,486300,490500,493100,494100,497900,504400,506800,506800,509100,513600,515900,516700,517100,519600,523500,531500,536800,545600,5.45E+05,546500,5.43E+05,549600,554200,562800,5.66E+05,574400,575700,583900,583600
139,Cook,Illinois,2,,,,,,,,,,,,,,,,188100,191100,196200,1.96E+05,197200,198700,202400,202500,197100,199400,196600,196200,190800,186500,182100,170200,170400,174400,183600,1.83E+05,179900,177600,170800,163100,157200,161200,166200,165800,164300,158600,160500,157500,155300,157100,153100,1.53E+05,149600,153600,160200,160600,159500,158800,157600,161100,158200,162500,157500,163900,169100,186500,1.95E+05,195900,197400,195900,199200,195800,200900,2.04E+05,2.03E+05,200200,2.01E+05,201300,202900,203700,209100,210600,210600,213200,214100,223600,223200,225500,217200,218100,217100,217500,217600,215600,216200,215900,219400,231900,234400,234800,223400,224100,2.26E+05,2.21E+05,220200,221800,234200,2.40E+05,244300,255600,2.54E+05,249600,233100,230200,2.29E+05,225200,2.25E+05,225500,232600
1090,Harris,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180100,1.82E+05,182500,183300,182900,183600,185100,186500,1.88E+05,186200,187100,186900,1.89E+05,189500,190600,192300,195900,196100,195400,192900,194500,198600,203400,209300,208700,206300
2402,Maricopa,Arizona,4,229100,222900,217600,212400,205200,197400,187500,178700,169100,159300,147600,136600,128800,123100,120500,121900,125100,128800,130900,132600,136300,136800,135900,134500,134500,136300,135200,134200,131600,128900,126700,125700,124700,121600,119200,118400,1.18E+05,117300,115100,115900,115900,116100,117100,118700,124500,126700,128900,128900,132400,138100,144800,1.51E+05,154200,158200,157400,161600,163600,169100,168500,1.69E+05,170400,175800,180300,184300,188400,189700,1.91E+05,192600,194500,194800,192600,191500,192500,193500,194100,192700,193800,195800,198400,198700,198900,200500,201700,204200,205800,207600,2.10E+05,212300,214200,213900,214300,217100,220400,225800,227400,229600,2.29E+05,230800,2.32E+05,233500,233900,235700,238700,240200,241500,239400,237200,234800,237300,242200,244900,243700,243400,243400,244300,245900,247700,249900
2841,San Diego,California,5,408300,395700,378900,366800,351100,338500,3.29E+05,318700,307500,298400,292400,291500,285700,2.83E+05,280100,286900,295200,305200,313300,318700,322600,327100,327200,331800,332600,336800,334400,330500,329500,327700,334400,334600,3.37E+05,334800,329900,326200,322300,322500,320900,3.17E+05,315500,314100,312500,311800,312300,315300,319100,320800,323100,324100,3.28E+05,329200,333100,336800,345300,350900,358600,366800,373700,377800,379600,386900,395900,403100,407500,408400,413400,413100,416100,417500,421700,423600,426300,427300,428600,427600,430800,433300,436200,437900,437900,437300,447200,454500,459100,451200,449200,452200,455700,457600,455900,457900,463600,4.69E+05,476600,477300,478300,476500,477700,477800,475800,4.80E+05,484700,493200,494600,498900,504700,511900,514300,513600,513900,518800,5.21E+05,5.24E+05,527300,528600,536200,540900
1286,Orange,California,6,514800,505100,490500,472200,4.59E+05,444500,435400,423500,409300,399300,385800,384300,381400,380500,385200,394300,409800,420200,428900,435800,440400,443400,447800,446900,446200,439200,4.38E+05,4.35E+05,442100,441800,445800,442300,443100,433300,428900,424800,4.32E+05,429400,424900,417200,417700,417500,420300,413900,411200,403900,406300,403500,405400,407300,416300,423800,434200,442200,4.51E+05,454800,4.61E+05,468100,470200,478600,489400,507500,518100,522700,526600,529400,531900,530700,532600,538400,5.44E+05,550500,551500,552900,5.55E+05,555500,556200,556500,562500,5.74E+05,577100,575100,568300,573200,577700,582100,579500,585900,592700,596600,597700,595100,600600,603300,611700,611700,615900,616500,621700,6.23E+05,623700,629500,631300,6.40E+05,641800,644600,6.42E+05,640600,643700,643300,648700,650800,659900,653900,657500,656500,671300,6.70E+05
581,Kings,New York,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436500,439800,452100,455900,457300,452800,463600,471700,4.67E+05,454100,454500,458400,451800,427500,424800,428600,429300,439500,453700,482700,474400,468400,467900,488300,490800,474300,463100,458400,458200,449200,4.54E+05,462100,4.71E+05,473700,476400,477500,481400,4.88E+05,4.85E+05,467700,469600,474300,511900,520300,5.25E+05,5.13E+05,503500,518900,518900,5.25E+05,515400,523200,541300,558100,560600,555800,558700,573200,581100,584100,585400,591700,605500,605800,599300,595300,593900,592500,584900,576300,586500,579900,607600,596600,601800,5.84E+05,603100,615400,629400,633100,633100,612800,586600,565400,
2964,Miami-Dade,Florida,8,294500,288200,277200,260800,249800,246600,239300,229700,211400,204300,189900,1.83E+05,174300,167800,160500,152600,152600,156100,157500,157200,155200,158500,1.67E+05,173900,1.80E+05,176400,174900,166500,157800,151100,142800,145700,143900,1.44E+05,131300,128900,1.28E+05,137300,143900,150500,163100,162400,159800,153400,1.50E+05,157300,162200,169300,169200,1.71E+05,172300,175400,1.74E+05,175800,173800,172400,169400,177500,182100,190600,189400,194100,198400,205300,206500,212100,209900,2.07E+05,2.02E+05,200800,205700,198500,196700,198400,2.08E+05,211600,214100,214800,214600,213100,207300,212600,213800,222400,224100,225100,226600,227800,228700,229900,2.31E+05,234300,228300,228200,232600,244200,247700,245300,241600,240400,243100,250500,254900,263600,265700,274500,273900,274900,271200,270900,265200,2.67E+05,265700,2.76E+05,,,,
978,Dallas,Texas,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188900,185500,185500,185200,184600,186700,188400,1.90E+05,191100,191700,192100,193900,195400,197500,196400,195700,197800,2.01E+05,202700,200800,202900,207100,2.10E+05,209300,209700,209600,210100,214500,217200,222100,218800,
2832,Riverside,California,10,317300,300400,282300,270900,2.59E+05,247200,235600,2.27E+05,218200,207400,199100,1.92E+05,184600,175900,169100,167800,168900,170800,173400,176200,181100,184500,1.90E+05,193500,193700,190800,190400,192700,193700,192400,191500,191600,189900,189300,189700,193100,192300,189200,185500,184800,184200,182900,183300,183900,185500,183800,184800,186600,188700,192200,192500,1.95E+05,196300,199200,203500,209400,215600,221200,225900,230400,234700,237800,241600,247600,252400,255100,258400,2.61E+05,267600,269600,276100,280400,282300,280700,280200,282200,283700,284100,283900,285500,286800,288900,289700,295700,296400,299900,295400,297500,298200,300300,302100,302600,303500,304500,307800,310700,3.14E+05,314400,315100,3.16E+05,316700,319300,322600,326500,328800,329400,330200,3.35E+05,338500,342900,340700,342800,3.45E+05,349400,351600,352800,353600,352400
